What is your group number?,Ward,Sub-ward/ Location,Sub-Location  (Kabarnet mosop),Sub-Location (Kabarnet soi),Village Name?,Location,Sub-location (kabiyet),Sub-location (ravine),Village Name?,Is there a Project associated to this facility?,Participatory Budgeting or HQ project?,Project ID,Project_Name_or_Title,Project_Description,Category,Type of project,What_is_the_project_s_apparent_status,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Photo of Project,_id,
2,Ravine,,,,,Ravine,,,Bondeni,Yes ,PB,0.0,Water kiosk,Water kiosk ,Water and Irrigation,Water project,Completed,Adequate,Not in good condition inadequate water ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532603916564.jpg,26663249,
2,Ravine,,,,,Ravine,,,Ravine,Yes ,HQ,9928.0,Eldama Ravine Sub-County Referral Hospital-laundry block,Construction Kitchen laundry block ,Health Services,Hospital,In progress,Adequate,Construction In progress ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532606491571.jpg,26663306,
2,Ravine,,,,,Ravine,,,Ravine ,Yes ,HQ,9952.0,Eldama Ravine Sub-County Referral Hospital-Hospital kitchen ,In progress ,Health Services,Hospital,Not yet started,Adequate,Need renovation ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532606762137.jpg,26663312,
2,Ravine,,,,,Ravine,,,Ravine,Yes ,HQ,8051.0,Eldama Ravine Sub-County Referral Hospital-Mortuary equipment,Wall,Health Services,Hospital,Completed,Excellent,In good condition ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532607352984.jpg,26663338,
2,Ravine,,,,,Ravine,,,Ravine ,Yes ,HQ,7995.0,Eldama Ravine Sub-County Referral Hospital-Perimeter wall ,None,Health Services,Hospital,Completed,Excellent,In good condition ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532607515814.jpg,26663342,
2,Ravine,,,,,Ravine,,,Ravine ,Yes ,HQ,8014.0,Eldama Ravine Sub-County Referral Hospital-wards walkway,Walkbway,Health Services,Health center,Completed,Excellent,In good condition ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532607913062.jpg,26663361,
2,Ravine,,,,,Ravine,,,Ravine,Yes ,HQ,8066.0,Garden square-toilet,Public toilet,"Education, Sports, Culture and Social services",Other,Completed,Excellent,It serve people of eldama ravine town,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532610379185.jpg,26663654,
2,Ravine,,,,,Ravine,,,Ravine ,Yes ,HQ,8014.0,Eldama Ravine Sub-County Referral Hospital-Power Generator,Construction of generator,Health Services,Health center,Completed,Excellent,Good condition ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532607098117.jpg,26663837,
2,Ravine,,,,,Ravine,,,Ravine,Yes ,HQ,0.0,Eldama Ravine Sub-County Referral Hospital-Power Generator-Opd block,Pavement wall,Health Services,Hospital,In progress,Adequate,It is not yet used construction in progress ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532608196635.jpg,26663862,
3,Ravine,,,,,Kabiyet,Kabiyet,,Luita,Yes ,PB,0.0,Luita ECDE,Construction of ECDE classrooms,"Education, Sports, Culture and Social services",ECDE centre,In progress,Poor,1. The classroom floors are already damaged due to poor construction. 2. The project is stalling. 3. There are no toilets for the pupils.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1231043242009.jpg,26664063,
3,Ravine,,,,,Kabiyet,Kabiyet,,Kabiyet,Yes ,PB,6023.0,Kabiyet Cattle Dip,Renovation of Kabiyet cattle dip,"Agriculture, Livestock and Fisheries",Other,Completed,Adequate,"1. The cattle dip assists the local people to treat their livestock. 2. The storage tank however, is leaking due poor construction",http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1231044684660.jpg,26664086,
3,Ravine,,,,,Kabiyet,Kabiyet,,Kabiyet,Yes ,HQ,0.0,Uhuru High School-Kabiyet,"Construction of Adminstration Block, offices and classrooms","Education, Sports, Culture and Social services",Other,In progress,Excellent,1.Good workmanship. 2.worked in good time,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1231052002481.jpg,26664152,
3,Ravine,,,,,Kabiyet,Kabiyet,,Kabiyet,Yes ,HQ,0.0,Uhuru High School-laboratory,Use for science practicals,"Education, Sports, Culture and Social services",Other,Completed,Adequate,1.poor drainage. 2.No gas system. 3.broken taps. 4.No sits. 5.inadequate fume chamber,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1231052689752.jpg,26664159,
3,Ravine,,,,,Kabiyet,Kabiyet,,Kabiyet,Yes ,HQ,0.0,Kabiyet ECDE,,"Education, Sports, Culture and Social services",ECDE centre,Completed,Adequate,1.incomplete erection of drawers. 2.No facilitation of playing kits. 3Need more space of classes.  4.Inadequate teachers. 5.cracking walls. 6 No ECDE toilets,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1231053714486.jpg,26664170,
1,Ravine,,,,,Ravine,,,Kamelilo,Yes ,PB,0.0,Kamelilo Vocational Training Center,Contruction of administration block and classroom,"Education, Sports, Culture and Social services",Other,Completed,Excellent,The polytecnic is well build also well equiped,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532596227472.jpg,26669236,
1,Ravine,,,,,Ravine,,,Kamelilo,Yes ,PB,5598.0,Kamelilo ECDE,Erection and completion of ecde classrooms,"Education, Sports, Culture and Social services",ECDE centre,In progress,Poor,The classrooms have stayed for more than three years still under construction (incomplete classrooms),http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532598196976.jpg,26669272,
1,Ravine,,,,,Ravine,,,Kamelilo,Yes ,PB,0.0,Kamelilo Secondary School-dining hall,Multi-purpose dinning hall,"Education, Sports, Culture and Social services",Social hall,In progress,Excellent,Well built,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532615141122.jpg,26669317,
2,Ravine,,,,,Ravine,,Ravine,Kapdening,Yes ,PB,9998.0,Eldama Ravine Stadiume-rehabilitation of running track and football pitch and fencing,"Rehabilitation of the running track,football pitch and fencing","Education, Sports, Culture and Social services",Sports ground,Completed,Adequate,Needs renovations,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532674503455.jpg,26727827,
3,Ravine,,,,,Kabiyet,Kabiyet,,Tabare,Yes ,PB,5794.0,Tabare ECDE classroom,Construction of new classroom,"Education, Sports, Culture and Social services",ECDE centre,In progress,Adequate,"1.Project has stopped for four years. 2.poor workmanship. 3.New project has overcomed old project. 4.The building is small,congestion of pupils.",http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532682710793.jpg,26728281,
3,Ravine,,,,,Kabiyet,Kabiyet,,Sogonin,Yes ,HQ,0.0,Sogonin ECDE,Construction of ECDE classrooms,"Education, Sports, Culture and Social services",ECDE centre,In progress,Poor,1.poor erection of pillars. 2.No fisherboards. 3 Cracking of walls and floors. 4 Congestion of pupils. 5.Poor location and texture of chalkboard. 6. Inadequate chairs and tables.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532687436967.jpg,26728319,
2,Ravine,,,,,Ravine,,Ravine,Ravine,Yes ,PB,9980.0,Shimoni  ECDE,Construction of an ECDE classroom block,"Education, Sports, Culture and Social services",ECDE centre,In progress,Adequate,Part of the classroom block is complete but the windows need repairs.,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532680805309.jpg,26728748,
1,Ravine,,,,,Ravine,,Ravine,Kamelilo,Yes ,PB,8626.0,Chemususu Project Offices,Construction offices ,Water and Irrigation,Water project,In progress,Excellent,There are adequate and quality materials and labour for construction,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532674422068.jpg,26732864,
1,Ravine,,,,,Ravine,,Ravine,Milimani ,Yes ,PB,0.0,ECDE Construction project,,"Education, Sports, Culture and Social services",ECDE centre,In progress,Poor,The construction is incomplete due to lack of enough  materials,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532686350800.jpg,26733025,
2,Ravine,,,,,Ravine,,Ravine,Ravine,Yes ,PB,8656.0,Chemususu water project ,In good condition serving the community ,Water and Irrigation,Water project,Completed,Adequate,It's serve the community at large ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532938060932.jpg,26921344,
2,Ravine,,,,,Ravine,,Ravine,Ravine ,Yes ,HQ,8079.0,Stage Water bowser,Main stage ,Water and Irrigation,Water project,Completed,Poor,Bowser need renovation ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532939572754.jpg,26922141,
2,Ravine,,,,,Ravine,,Ravine,Ravine ,Yes ,PB,9988.0,Main stage car wash,Car wash ,"Transport, Public Works and Infrasctructure",Parking space,Completed,Excellent,In good condition serving the community at large ,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1532938560980.jpg,26922849,
2,Ravine,,,,,Ravine,,Ravine,Ravine,Yes ,HQ,6303.0,Ravine market-renovation,Proposed renovation and civil works at ravine market,"Transport, Public Works and Infrasctructure",Market stall,Completed,Adequate,Its need to be revanished not in good condition,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1533124583285.jpg,27061423,
2,Ravine,,,,,Ravine,,Ravine,Ravine,Yes ,PB,9987.0,Elama Ravine drainage ,Improvement of project system,"Transport, Public Works and Infrasctructure",Other,Completed,Adequate,It is in good condition but required to be sealed,http://kc.humanitarianresponse.info/attachment/orginal?media_file=mapkibera/attachments/1533124935388.jpg,27061427,
