is_in:village,Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_marigat,Sub_Location_Kiponjos,Sub_Location_Bekibon,Sub_Location_Tuluongoi,Sub_Location_Kimalel,Sub_Location_Kimondis,Sub_Location_Sokta,Sub_Location_Ewalel_Soi,Sub_ward_location,Sub_location_Mogotio,Sub_location_ngubereti,Sub_location_Sirwa,Sub_location_Koitebes_Kimngorom,Sub_location_Kiptoim,Sub_location_Rosoga,PB_or_HQ,Project_Name,Additional_Project_Details,,,Budgeted sum,wb_pb:id,added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Projects_that_have_been_completed,projects_that_have_not_yet_started,projects_that_have_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,image:project,Notes corrections on Kobo,zack's comment/feedback/correction,Validation Status on Kobo
Kipsamisonchun,yes,marigat,kimalel,,,,,sabor,,,,,,,,,,,HQ,Kipsamisonchun Borehole,Drilling and Equipping,,,,102,,WI,borehole,,completed,operational,,,excellent,It provides clean water for the community,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568712654884.jpg,Corrected project name and grammar,Approved,
Kamasula,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Kamagonge Borehole,Drilling Of Borehole,,,,104,,WI,borehole,,completed,operational,,,excellent,1. It provides clean and affordable water to the community. 2. It has improved accessibility to water. 3. Easy accessible to the community,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568287233131.jpg,"no.104 (Marigat) on 12/09 mapped twice cause they closed the first form. Merged the information in the first of the two records and then highlighted the one which is supposed to be flagged as Not Approved  → check maybe also the pictures on Kobo before flagging Not Approved. Fixed Dep, merged information in description",,Approved
Kamasula,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Kamakonge Borehole,Drilling of Borehole,,,,104,,WI,borehole,,completed,operational,,,excellent,Easy accessible to the community,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568287516392.jpg,The one to be flagged as Not Approved after checking maybe also the pictures,,Not Approved
Sirinyo A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Kapsamson Borehole,Construction Of Borehole,,,,105,,WI,borehole,,completed,operational,,,excellent,1. Pipes are well fitted. 2. There is distribution of clean water for human consumption.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568281801024.jpg,"Fixed Dep, added spaced in between words",,Approved
Marigat Town A,yes,marigat,marigat,perkera,,,,,,,,,,,,,,,HQ,St. Paul's Catholic Borehole,Drilling of a borehole,,,,106,107,WI,borehole,,completed,operational,,,excellent,1. It provides sufficient water for the locals. 2. The water is clean and safe for human consumption,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568026730741.jpg,"Not yet corrected, waiting for Zack feedback on proj ID ","the project is 106 they mixed it with the id for Ndamnbul borehole --> Corrected grammar, proj ID and fixed Dep.",Approved
Katkamuma,yes,marigat,tuluongoi,,,,tebei,,,,,,,,,,,,PB,Katkamuma borehole,Fixing power supply because transformer is not working,,,,110,,WI,borehole,,stalled,,,low_budget,poor,"The project isn't working because the transformer isn't working. If supplied with solar panels or exchange transformer, the borehole will work and supply water to Katkamuma ECDE.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568115363895.jpg,Fixed department and corrected spelling mistakes,,Approved
Sogon,yes,marigat,sokta,,,,,,,sogon,,,,,,,,,PB,Sogon water project,Water pipeline extension,,,,118,,WI,Water_project,,on_going,,,,adequate,The project needs taps to control spillage and installation of a tank to store water.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568374995966.jpg,Nothing,,Approved
Koriema,yes,marigat,kimalel,,,,,koriema,,,,,,,,,,,HQ,Koriema Dispensary,Renovation and fencing works at Koriema Dispensary,,,1184335,127,,HS,dispensary,,completed,operational,,,excellent,It is well fenced and fully furnished,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568379629709.jpg,"Corrected spelling mistake. Though there is another 127 on Kobo only, still to understand why since I don't find it on csv",,Approved
TownA,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Marigat Sub County Hospital,Construction of Marigat Sub County Wards,,,,128,121,HS,hospital,,on_going,,,,adequate,"Construction is still going on. They have already put on the roof, and they are still painting the wall. Windows have already been installed but the fencing of the compound has not yet been done.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568275645540.jpg,"Zack, see comment on ID","It should be 128, 125 is septic tank and paedtriatic ward --> ok, corrected to ID 128, corrected project name and fixed Dep",Approved
Kapkwei,yes,marigat,kiponjos,,kaptich,,,,,,,,,,,,,,PB,Kapkwei Dispensary,Staff house,,,500000,129,,HS,Other_1,Staff Houses,on_going,,,,adequate,"Project is still under construction, once complete it will be able to accomodate more staff",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568821884863.jpg,Corrected grammar,Approved,
